,generation,species,fitness,survived,mean_fitness
0,0,0,0.0,False,20.5
1,0,0,0.0,True,20.5
2,0,1,7.0,True,22.0
3,0,4,8.0,True,11.666666666666668
4,0,4,11.0,False,11.666666666666668
5,0,4,9.0,True,11.666666666666668
6,0,0,16.0,True,20.5
7,0,4,8.0,False,11.666666666666668
8,0,2,73.0,True,23.3
9,0,4,9.0,True,11.666666666666668
10,0,4,19.0,True,11.666666666666668
11,0,1,54.0,True,22.0
12,0,2,8.0,True,23.3
13,0,0,0.0,False,20.5
14,0,3,21.0,True,22.428571428571427
15,0,2,61.0,True,23.3
16,0,4,8.0,True,11.666666666666668
17,0,4,9.0,False,11.666666666666668
18,0,4,9.0,True,11.666666666666668
19,0,4,42.0,True,11.666666666666668
20,0,3,9.0,False,22.428571428571427
21,0,4,9.0,False,11.666666666666668
22,0,0,85.0,True,20.5
23,0,4,9.0,True,11.666666666666668
24,0,3,16.0,False,22.428571428571427
25,0,2,0.0,True,23.3
26,0,3,7.0,False,22.428571428571427
27,0,1,53.0,True,22.0
28,0,4,69.0,True,11.666666666666668
29,0,0,7.0,True,20.5
30,0,2,0.0,True,23.3
31,0,0,38.0,True,20.5
32,0,1,9.0,True,22.0
33,0,4,9.0,True,11.666666666666668
34,0,4,8.0,True,11.666666666666668
35,0,4,9.0,True,11.666666666666668
36,0,3,8.0,True,22.428571428571427
37,0,0,9.0,False,20.5
38,0,2,68.0,True,23.3
39,0,4,9.0,True,11.666666666666668
40,0,0,50.0,True,20.5
41,0,4,9.0,True,11.666666666666668
42,0,3,66.0,True,22.428571428571427
43,0,3,30.0,True,22.428571428571427
44,0,4,0.0,True,11.666666666666668
45,0,4,8.0,False,11.666666666666668
46,0,4,8.0,False,11.666666666666668
47,0,4,8.0,True,11.666666666666668
48,0,1,9.0,True,22.0
49,0,4,0.0,False,11.666666666666668
50,0,1,0.0,True,22.0
51,0,2,0.0,True,23.3
52,0,2,0.0,True,23.3
53,0,4,9.0,False,11.666666666666668
54,0,0,0.0,True,20.5
55,0,2,0.0,True,23.3
56,0,4,9.0,False,11.666666666666668
57,0,4,10.0,True,11.666666666666668
58,0,2,23.0,True,23.3
59,0,4,0.0,True,11.666666666666668
60,1,0,93.0,True,47.33333333333333
61,1,1,9.0,True,8.833333333333332
62,1,3,8.0,True,24.35294117647059
63,1,1,10.0,True,8.833333333333332
64,1,2,31.0,True,14.333333333333336
65,1,3,81.0,True,24.35294117647059
66,1,5,9.0,True,25.5
67,1,4,9.0,True,12.600000000000003
68,1,5,0.0,True,25.5
69,1,3,0.0,True,24.35294117647059
70,1,4,37.0,True,12.600000000000003
71,1,3,27.0,True,24.35294117647059
72,1,5,8.0,True,25.5
73,1,1,8.0,False,8.833333333333332
74,1,4,16.0,True,12.600000000000003
75,1,5,90.0,True,25.5
76,1,5,8.0,True,25.5
77,1,3,0.0,True,24.35294117647059
78,1,5,52.0,True,25.5
79,1,3,51.0,True,24.35294117647059
80,1,2,22.0,True,14.333333333333336
