,generation,species,fitness,survived,mean_fitness
0,0,2,56.0,True,18.813333333333333
1,0,2,9.0,True,18.813333333333333
2,0,2,50.0,True,18.813333333333333
3,0,2,8.0,True,18.813333333333333
4,0,1,9.0,True,9.0
5,0,2,56.0,True,18.813333333333333
6,0,2,7.0,True,18.813333333333333
7,0,2,8.0,False,18.813333333333333
8,0,2,0.0,False,18.813333333333333
9,0,2,10.0,False,18.813333333333333
10,0,2,42.0,True,18.813333333333333
11,0,2,0.0,False,18.813333333333333
12,0,2,81.0,True,18.813333333333333
13,0,2,0.0,True,18.813333333333333
14,0,2,0.0,True,18.813333333333333
15,0,2,9.0,True,18.813333333333333
16,0,2,27.0,True,18.813333333333333
17,0,2,9.0,True,18.813333333333333
18,0,2,8.0,True,18.813333333333333
19,0,2,8.0,True,18.813333333333333
20,0,1,9.0,True,9.0
21,0,2,9.0,True,18.813333333333333
22,0,2,15.0,True,18.813333333333333
23,0,2,26.0,True,18.813333333333333
24,0,2,60.0,True,18.813333333333333
25,0,2,10.0,True,18.813333333333333
26,0,2,10.0,False,18.813333333333333
27,0,2,8.0,True,18.813333333333333
28,0,2,8.0,False,18.813333333333333
29,0,2,0.0,True,18.813333333333333
30,0,4,9.0,True,9.0
31,0,2,7.0,False,18.813333333333333
32,0,2,9.0,False,18.813333333333333
33,0,2,41.0,False,18.813333333333333
34,0,2,47.0,True,18.813333333333333
35,0,2,0.0,True,18.813333333333333
36,0,2,59.0,True,18.813333333333333
37,0,2,9.0,True,18.813333333333333
38,0,2,0.0,True,18.813333333333333
39,0,2,9.0,False,18.813333333333333
40,0,2,8.0,True,18.813333333333333
41,0,2,9.0,True,18.813333333333333
42,0,2,9.0,False,18.813333333333333
43,0,2,7.0,True,18.813333333333333
44,0,2,83.0,True,18.813333333333333
45,0,2,9.0,True,18.813333333333333
46,0,2,9.0,False,18.813333333333333
47,0,2,9.0,True,18.813333333333333
48,0,2,39.0,False,18.813333333333333
49,0,2,9.0,True,18.813333333333333
50,0,2,77.0,True,18.813333333333333
51,0,2,0.0,True,18.813333333333333
52,0,2,7.0,True,18.813333333333333
53,0,2,9.0,True,18.813333333333333
54,0,2,8.0,False,18.813333333333333
55,0,3,7.0,True,7.0
56,0,2,0.0,True,18.813333333333333
57,0,2,83.0,True,18.813333333333333
58,0,2,24.0,True,18.813333333333333
59,0,2,42.0,True,18.813333333333333
60,0,2,0.0,True,18.813333333333333
61,0,2,18.0,True,18.813333333333333
62,0,2,8.0,False,18.813333333333333
63,0,2,55.0,True,18.813333333333333
64,0,2,46.0,True,18.813333333333333
65,0,2,8.0,False,18.813333333333333
66,0,2,8.0,True,18.813333333333333
67,0,2,8.0,True,18.813333333333333
68,0,2,8.0,True,18.813333333333333
69,0,2,0.0,False,18.813333333333333
70,0,2,9.0,False,18.813333333333333
71,0,2,12.0,True,18.813333333333333
72,0,2,9.0,False,18.813333333333333
73,0,2,7.0,True,18.813333333333333
74,0,2,9.0,True,18.813333333333333
75,0,5,64.0,False,64.0
76,0,2,33.0,True,18.813333333333333
77,0,2,9.0,True,18.813333333333333
78,0,2,8.0,False,18.813333333333333
79,0,2,0.0,True,18.813333333333333
80,1,2,43.0,True,24.1081081081081
81,1,2,7.0,True,24.1081081081081
82,1,2,62.0,True,24.1081081081081
83,1,1,9.0,True,9.0
84,1,2,9.0,False,24.1081081081081
85,1,2,80.0,True,24.1081081081081
86,1,2,8.0,True,24.1081081081081
87,1,2,91.0,True,24.1081081081081
88,1,2,0.0,True,24.1081081081081
89,1,2,54.0,True,24.1081081081081
90,1,2,0.0,False,24.1081081081081
91,1,2,7.0,True,24.1081081081081
92,1,2,9.0,True,24.1081081081081
93,1,2,8.0,True,24.1081081081081
94,1,1,9.0,True,9.0
95,1,2,10.0,True,24.1081081081081
96,1,2,7.0,True,24.1081081081081
97,1,2,9.0,False,24.1081081081081
98,1,2,9.0,True,24.1081081081081
99,1,2,46.0,True,24.1081081081081
100,1,2,27.0,False,24.1081081081081
101,1,2,9.0,True,24.1081081081081
102,1,2,8.0,True,24.1081081081081
103,1,2,0.0,False,24.1081081081081
104,1,4,9.0,False,9.0
105,1,2,72.0,True,24.1081081081081
106,1,2,97.0,True,24.1081081081081
107,1,2,99.0,True,24.1081081081081
108,1,2,9.0,True,24.1081081081081
109,1,2,78.0,True,24.1081081081081
110,1,2,8.0,True,24.1081081081081
111,1,2,9.0,True,24.1081081081081
112,1,2,9.0,True,24.1081081081081
113,1,2,59.0,True,24.1081081081081
114,1,2,7.0,True,24.1081081081081
115,1,2,8.0,True,24.1081081081081
116,1,2,12.0,False,24.1081081081081
117,1,2,66.0,True,24.1081081081081
118,1,2,0.0,True,24.1081081081081
119,1,2,7.0,True,24.1081081081081
120,1,2,7.0,True,24.1081081081081
121,1,5,8.0,False,8.0
122,1,2,0.0,True,24.1081081081081
123,1,2,12.0,True,24.1081081081081
124,1,2,9.0,False,24.1081081081081
125,1,2,42.0,True,24.1081081081081
126,1,2,0.0,True,24.1081081081081
127,1,2,49.0,True,24.1081081081081
128,1,2,71.0,True,24.1081081081081
129,1,2,63.0,True,24.1081081081081
130,1,2,9.0,True,24.1081081081081
131,1,2,9.0,False,24.1081081081081
132,1,2,7.0,True,24.1081081081081
133,1,2,12.0,True,24.1081081081081
134,1,2,8.0,True,24.1081081081081
135,1,2,9.0,True,24.1081081081081
136,1,2,8.0,False,24.1081081081081
137,1,2,9.0,True,24.1081081081081
138,1,2,0.0,True,24.1081081081081
139,1,2,8.0,True,24.1081081081081
140,1,2,9.0,True,24.1081081081081
141,1,1,9.0,False,9.0
142,1,2,54.0,True,24.1081081081081
143,1,2,9.0,True,24.1081081081081
144,1,2,0.0,True,24.1081081081081
145,1,2,62.0,True,24.1081081081081
146,1,2,59.0,True,24.1081081081081
147,1,2,8.0,False,24.1081081081081
148,1,2,8.0,False,24.1081081081081
149,1,2,58.0,True,24.1081081081081
150,1,2,7.0,True,24.1081081081081
151,1,2,9.0,True,24.1081081081081
152,1,2,10.0,True,24.1081081081081
153,1,2,61.0,True,24.1081081081081
154,1,2,9.0,True,24.1081081081081
155,1,2,9.0,True,24.1081081081081
156,1,2,30.0,True,24.1081081081081
157,1,2,7.0,True,24.1081081081081
158,1,2,0.0,False,24.1081081081081
159,1,3,10.0,True,10.0
160,2,2,23.0,False,19.041666666666657
161,2,2,9.0,False,19.041666666666657
162,2,2,84.0,True,19.041666666666657
163,2,1,9.0,True,8.600000000000001
164,2,2,48.0,True,19.041666666666657
165,2,2,7.0,True,19.041666666666657
166,2,2,0.0,True,19.041666666666657
167,2,4,77.0,True,77.0
168,2,2,0.0,True,19.041666666666657
169,2,2,9.0,True,19.041666666666657
170,2,2,11.0,True,19.041666666666657
171,2,2,9.0,False,19.041666666666657
172,2,1,8.0,False,8.600000000000001
